# TEMPLATE PROGRAMMA — Grest 2026
# Compila le righe sotto. Non modificare le righe che iniziano con #
# SETTIMANE DISPONIBILI (usa il numero nella colonna settimana):
#   Settimana 1 (2026-06-09 → 2026-06-12)
#   Settimana 2 (2026-06-15 → 2026-06-19)
#   Settimana 3 (2026-06-22 → 2026-06-26)
#   Settimana 4 (2026-06-29 → 2026-07-03)
# SQUADRE DISPONIBILI (copia il nome esatto nella colonna squadra):
#   Arancioni
#   Azzurri
#   Blu
#   Fucsia
#   Gialli Grest
#   Grigi
#   Neri
#   Rosa antico
#   Rossi
#   Turchesi
#   Verdi Fluo
#   Verdi lime
#   Verdi oliva
#   Verdi scuro
#   Viola
# ATTIVITÀ DISPONIBILI (copia il nome esatto nella colonna attivita):
#   Accoglienza 🫂
#   Angelus 🙏
#   Attività in esterna 🎭
#   Compiti e studio 📚
#   Conclusione attività 👋
#   Giochi 🏀
#   Giochi sport 🏅
#   Gioco 🧩
#   Gita 🚀
#   Intrattenimento 🎉
#   Laboratorio 🥫
#   Laboratorio creativo 🎨
#   Merenda 🥨
#   Parco acquatico 🌊
#   Post-Oratorio 🌆
#   Pranzo - preghiera 🙏
#   pranzo - preghiera - tempo libero
#   Pre-oratorio 🍱
#   Tempo Libero 🆓
#   Uscita 📤
# Se l'attività non è presente verrà creata automaticamente
# GIORNI: Lunedi | Martedi | Mercoledi | Giovedi | Venerdi
squadra;settimana;giorno;attivita;ora_inizio;ora_fine;note
Arancioni;2;Martedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;2;Martedi;Accoglienza 🫂;8:30;9:30;
Arancioni;2;Martedi;Laboratorio 🥫;9:30;10:30;
Arancioni;2;Martedi;Merenda 🥨;10:30;10:45;
Arancioni;2;Martedi;Compiti e studio 📚;10:50;11:30;
Arancioni;2;Martedi;Angelus 🙏;11:35;11:40;
Arancioni;2;Martedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;2;Martedi;Gioco 🧩;15:00;16:00;
Arancioni;2;Martedi;Merenda 🥨;16:00;16:25;
Arancioni;2;Martedi;Conclusione attività 👋;16:30;17:00;
Arancioni;2;Martedi;Uscita 📤;17:00;17:15;
Arancioni;2;Martedi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;2;Mercoledi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;2;Mercoledi;Accoglienza 🫂;8:30;9:30;
Arancioni;2;Mercoledi;Compiti e studio 📚;9:30;10:30;
Arancioni;2;Mercoledi;Merenda 🥨;10:30;10:45;
Arancioni;2;Mercoledi;Gioco 🧩;10:50;11:30;
Arancioni;2;Mercoledi;Angelus 🙏;11:35;11:40;
Arancioni;2;Mercoledi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;2;Mercoledi;Parco acquatico 🌊;15:00;16:00;
Arancioni;2;Mercoledi;Merenda 🥨;16:00;16:25;
Arancioni;2;Mercoledi;Conclusione attività 👋;16:30;17:00;
Arancioni;2;Mercoledi;Uscita 📤;17:00;17:15;
Arancioni;2;Mercoledi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;2;Giovedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;2;Giovedi;Accoglienza 🫂;8:30;9:30;
Arancioni;2;Giovedi;Attività in esterna 🎭;9:30;10:30;
Arancioni;2;Giovedi;Merenda 🥨;10:30;10:45;
Arancioni;2;Giovedi;Attività in esterna 🎭;10:45;11:30;
Arancioni;2;Giovedi;Angelus 🙏;11:35;11:40;
Arancioni;2;Giovedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;2;Giovedi;Gioco 🧩;15:00;16:00;
Arancioni;2;Giovedi;Merenda 🥨;16:00;16:25;
Arancioni;2;Giovedi;Conclusione attività 👋;16:30;17:00;
Arancioni;2;Giovedi;Uscita 📤;17:00;17:15;
Arancioni;2;Giovedi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;2;Venerdi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;2;Venerdi;Accoglienza 🫂;8:30;9:30;
Arancioni;2;Venerdi;Gioco 🧩;9:30;10:30;
Arancioni;2;Venerdi;Merenda 🥨;10:30;10:45;
Arancioni;2;Venerdi;Compiti e studio 📚;10:50;11:30;
Arancioni;2;Venerdi;Angelus 🙏;11:35;11:40;
Arancioni;2;Venerdi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;2;Venerdi;Gioco 🧩;15:00;16:00;
Arancioni;2;Venerdi;Merenda 🥨;16:00;16:25;
Arancioni;2;Venerdi;Conclusione attività 👋;16:30;17:00;
Arancioni;2;Venerdi;Uscita 📤;17:00;17:15;
Arancioni;2;Venerdi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;3;Lunedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;3;Lunedi;Accoglienza 🫂;8:30;9:30;
Arancioni;3;Lunedi;Parco acquatico 🌊;9:30;10:30;
Arancioni;3;Lunedi;Merenda 🥨;10:30;10:45;
Arancioni;3;Lunedi;Parco acquatico 🌊;10:45;11:30;
Arancioni;3;Lunedi;Angelus 🙏;11:35;11:40;
Arancioni;3;Lunedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;3;Lunedi;Gioco 🧩;15:00;16:00;
Arancioni;3;Lunedi;Merenda 🥨;16:00;16:25;
Arancioni;3;Lunedi;Conclusione attività 👋;16:30;17:00;
Arancioni;3;Lunedi;Uscita 📤;17:00;17:15;
Arancioni;3;Lunedi;Post-Oratorio 🌆;17:15;18:00;
Arancioni;3;Martedi;Pre-oratorio 🍱;7:30;8:30;
Arancioni;3;Martedi;Accoglienza 🫂;8:30;9:30;
Arancioni;3;Martedi;Laboratorio 🥫;9:30;10:30;
Arancioni;3;Martedi;Merenda 🥨;10:30;10:45;
Arancioni;3;Martedi;Compiti e studio 📚;10:50;11:30;
Arancioni;3;Martedi;Angelus 🙏;11:35;11:40;
Arancioni;3;Martedi;pranzo - preghiera - tempo libero;11:45;14:05;
Arancioni;3;Martedi;Gioco 🧩;15:00;16:00;
